gene_symbol,expected_direction,evidence_class,locked,evidence_basis,notes
ATF6,up,core_canonical,yes,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,ER stress / UPR core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
XBP1,up,core_canonical,yes,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,ER stress / UPR core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
DNAJB9,up,core_canonical,yes,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,ER stress / UPR core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
DNAJB11,up,core_canonical,yes,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,ER stress / UPR core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
DNAJC3,up,core_canonical,yes,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,ER stress / UPR core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
PDIA4,up,core_canonical,yes,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,ER stress / UPR core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
PDIA6,up,core_canonical,yes,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,ER stress / UPR core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
HSP90B1,up,core_canonical,yes,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,ER stress / UPR core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
HYOU1,up,core_canonical,yes,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,ER stress / UPR core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
MANF,up,core_canonical,yes,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,ER stress / UPR core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
CRELD2,up,core_canonical,yes,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,ER stress / UPR core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
SDF2L1,up,core_canonical,yes,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,ER stress / UPR core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
EDEM1,up,core_canonical,yes,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,ER stress / UPR core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
SEL1L,up,core_canonical,yes,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,ER stress / UPR core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
SERP1,up,core_canonical,yes,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,ER stress / UPR core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
WFS1,up,core_canonical,yes,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,ER stress / UPR core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
ERO1A,up,core_canonical,yes,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,ER stress / UPR core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
STC2,up,core_canonical,yes,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,ER stress / UPR core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
CEBPG,up,core_canonical,yes,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,ER stress / UPR core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
PSAT1,up,core_canonical,yes,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,ER stress / UPR core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
MTHFD2,up,core_canonical,yes,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,ER stress / UPR core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
DERL3,up,core_canonical,yes,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,ER stress / UPR core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
ERN1,up,extended_canonical,yes,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,ER stress / UPR extended canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
EIF2AK3,up,extended_canonical,yes,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,ER stress / UPR extended canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
PDIA5,up,extended_canonical,yes,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,ER stress / UPR extended canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
ERO1B,up,extended_canonical,yes,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,ER stress / UPR extended canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
VEGFA,up,extended_canonical,yes,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,ER stress / UPR extended canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
CEBPB,up,extended_canonical,yes,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,ER stress / UPR extended canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
PHGDH,up,extended_canonical,yes,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,ER stress / UPR extended canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
SLC7A11,up,extended_canonical,yes,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,ER stress / UPR extended canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
SLC7A5,up,extended_canonical,yes,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,ER stress / UPR extended canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
SLC1A4,up,extended_canonical,yes,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,ER stress / UPR extended canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
SLC3A2,up,extended_canonical,yes,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,ER stress / UPR extended canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
CALR,up,extended_canonical,yes,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,ER stress / UPR extended canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
CANX,up,extended_canonical,yes,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,ER stress / UPR extended canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
WIPI1,up,extended_canonical,yes,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,ER stress / UPR extended canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
