gene_symbol,expected_direction,panel_role,locked_at,evidence_basis,notes
IRF7,up,core_canonical,2026-05-30,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Type I/II interferon (ISG) core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
IFI27,up,core_canonical,2026-05-30,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Type I/II interferon (ISG) core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
BST2,up,core_canonical,2026-05-30,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Type I/II interferon (ISG) core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
ISG20,up,core_canonical,2026-05-30,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Type I/II interferon (ISG) core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
IRF9,up,core_canonical,2026-05-30,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Type I/II interferon (ISG) core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
STAT2,up,core_canonical,2026-05-30,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Type I/II interferon (ISG) core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
EIF2AK2,up,core_canonical,2026-05-30,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Type I/II interferon (ISG) core canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
DDX60,up,extended_canonical,2026-05-30,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Type I/II interferon (ISG) extended canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
HERC6,up,extended_canonical,2026-05-30,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Type I/II interferon (ISG) extended canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
IFI35,up,extended_canonical,2026-05-30,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Type I/II interferon (ISG) extended canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
IFITM3,up,extended_canonical,2026-05-30,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Type I/II interferon (ISG) extended canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
LY6E,up,extended_canonical,2026-05-30,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Type I/II interferon (ISG) extended canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
RTP4,up,extended_canonical,2026-05-30,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Type I/II interferon (ISG) extended canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
PARP9,up,extended_canonical,2026-05-30,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Type I/II interferon (ISG) extended canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
PARP12,up,extended_canonical,2026-05-30,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Type I/II interferon (ISG) extended canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
DTX3L,up,extended_canonical,2026-05-30,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Type I/II interferon (ISG) extended canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
LGALS3BP,up,extended_canonical,2026-05-30,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Type I/II interferon (ISG) extended canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
EPSTI1,up,extended_canonical,2026-05-30,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Type I/II interferon (ISG) extended canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
SAMD9,up,extended_canonical,2026-05-30,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Type I/II interferon (ISG) extended canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
SAMD9L,up,extended_canonical,2026-05-30,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Type I/II interferon (ISG) extended canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
PLSCR1,up,extended_canonical,2026-05-30,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Type I/II interferon (ISG) extended canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
XAF1,up,extended_canonical,2026-05-30,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Type I/II interferon (ISG) extended canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
TRIM22,up,extended_canonical,2026-05-30,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Type I/II interferon (ISG) extended canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
SP100,up,extended_canonical,2026-05-30,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Type I/II interferon (ISG) extended canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
ADAR,up,extended_canonical,2026-05-30,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Type I/II interferon (ISG) extended canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
SAMHD1,up,extended_canonical,2026-05-30,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Type I/II interferon (ISG) extended canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
UBE2L6,up,extended_canonical,2026-05-30,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Type I/II interferon (ISG) extended canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
UBA7,up,extended_canonical,2026-05-30,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Type I/II interferon (ISG) extended canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
TRIM5,up,extended_canonical,2026-05-30,Expanded canonical panel (MSigDB Hallmark + topic-specific target/ChIP literature); locked blind to DEGORA output.,Type I/II interferon (ISG) extended canonical target; expanded gold panel locked blind to DEGORA output; used only for recall/prioritization diagnostics.
